year-month-date,volume,open,high,low,close
2008-01-02,995562703,45.30,46.30,44.90,45.05
2008-01-03,594207413,44.30,45.10,44.00,44.80
2008-01-04,1637856682,44.20,46.85,43.30,46.60
2008-01-07,2510854034,45.90,48.00,45.60,46.10
2008-01-08,2814377377,47.95,49.30,46.80,49.30
2008-01-09,2550426601,49.50,51.90,48.50,51.90
2008-01-10,1332449766,51.80,51.80,50.20,50.80
2008-01-11,867450043,51.00,51.10,49.00,49.10
2008-01-14,3376692517,52.50,52.50,51.50,52.50
2008-01-15,4002387960,53.40,56.10,52.70,55.00
2008-01-16,1602188023,53.10,54.70,51.20,52.50
2008-01-17,1178297236,52.00,53.00,50.00,52.00
2008-01-18,1698122333,51.00,52.50,49.85,51.00
2008-01-21,1202945164,51.50,52.30,50.30,50.80
2008-01-22,1048263565,47.25,47.55,47.25,47.25
2008-01-23,1461511886,48.35,48.35,43.95,43.95
2008-01-24,890233781,45.45,45.70,43.55,44.90
2008-01-25,826665895,45.65,46.30,45.30,45.65
2008-01-28,656809576,44.90,45.35,43.30,43.55
2008-01-29,1213709079,43.60,44.30,41.20,42.20
2008-01-30,993398912,42.75,42.75,41.20,41.50
2008-01-31,1253797222,41.50,42.15,40.10,41.80
2008-02-01,1263002091,42.15,44.70,42.15,44.70
2008-02-12,1400234405,45.00,47.80,45.00,47.80
2008-02-13,1436137224,49.50,49.50,46.30,46.60
2008-02-14,837549988,47.60,47.90,46.65,47.50
2008-02-15,539390761,47.10,47.30,45.80,46.60
2008-02-18,870003765,47.50,48.50,47.50,47.75
2008-02-19,1446196367,48.50,51.00,48.10,50.40
2008-02-20,1307749043,50.50,51.50,48.75,48.75
2008-02-21,930629421,49.75,50.80,49.00,50.80
2008-02-22,730689953,50.10,50.80,49.45,50.50
2008-02-25,1514873210,51.50,54.00,51.10,54.00
2008-02-26,1795803914,55.00,56.10,54.20,54.60
2008-02-27,1706058824,55.80,57.00,54.40,55.60
2008-02-29,1320263834,54.70,56.80,54.10,55.00
2008-03-03,1179778072,53.70,56.00,53.00,56.00
2008-03-04,1836942525,56.00,58.20,56.00,58.00
2008-03-05,1060606314,58.00,58.20,56.80,57.60
2008-03-06,1422760476,58.00,58.50,57.10,58.00
2008-03-07,1344332322,57.10,57.30,55.00,55.40
2008-03-10,1768369128,56.00,56.40,52.00,52.50
2008-03-11,764701498,52.00,55.30,52.00,55.30
2008-03-12,787359207,57.10,57.20,54.10,54.80
2008-03-13,726046515,54.80,55.40,52.50,52.70
2008-03-14,632699416,53.50,54.50,51.80,52.90
2008-03-17,1212060725,51.20,53.30,50.10,52.50
2008-03-18,963267615,52.50,52.80,50.90,51.20
2008-03-19,850967315,52.50,53.20,52.00,52.60
2008-03-20,1114253183,52.20,53.80,52.20,53.70
2008-03-21,1774171349,54.60,57.20,54.30,56.80
2008-03-24,3054582071,60.70,60.70,58.70,60.60
2008-03-25,1519591768,60.50,60.50,57.50,58.00
2008-03-26,1086694100,58.50,58.50,56.90,58.20
2008-03-27,936627897,58.20,58.70,55.80,57.00
2008-03-28,1385936977,57.00,58.50,56.00,57.70
2008-03-31,982609378,57.80,58.90,56.90,58.90
2008-04-01,806428714,59.10,59.30,56.30,56.30
2008-04-02,745012367,57.30,57.30,55.70,56.10
2008-04-03,1161409242,54.60,57.30,52.60,57.30
2008-04-07,956399056,55.10,56.30,54.90,56.00
2008-04-08,1141611594,56.00,56.00,53.30,54.00
2008-04-09,939922018,53.50,55.20,53.50,53.90
2008-04-10,497731831,53.80,54.90,53.80,54.90
2008-04-11,1049329267,55.40,55.40,53.80,54.50
2008-04-14,1784253169,55.00,56.40,54.70,56.30
2008-04-15,2559663434,57.80,58.70,55.80,58.70
2008-04-16,1749413983,59.40,59.50,58.50,58.50
2008-04-17,952025618,59.40,59.40,56.50,56.70
2008-04-18,842864080,56.70,57.40,55.20,56.00
2008-04-21,1185061103,56.00,57.50,54.40,55.00
2008-04-22,1514872700,54.40,54.60,53.30,53.70
2008-04-23,1341587153,53.60,53.80,52.50,53.00
2008-04-24,1018857183,53.00,54.50,53.00,54.20
2008-04-25,1144439963,54.60,55.20,53.80,53.90
2008-04-28,1313035630,54.10,55.40,53.90,54.60
2008-04-29,3233030404,53.60,53.60,50.80,51.00
2008-04-30,2900345559,50.00,51.10,49.45,49.50
2008-05-02,1234688881,50.00,50.50,49.05,49.40
2008-05-05,1078676721,49.90,50.00,47.80,48.05
2008-05-06,718692559,48.10,49.20,47.50,49.05
2008-05-07,1444480720,49.80,51.40,49.45,50.70
2008-05-08,645277034,50.70,51.30,50.20,50.90
2008-05-09,916571143,51.00,51.40,50.10,50.10
2008-05-12,817323252,49.60,49.80,48.30,48.90
2008-05-13,1937531537,51.90,51.90,50.00,50.50
2008-05-14,840091328,50.90,51.40,50.30,50.50
2008-05-15,983466240,51.20,51.80,50.90,51.70
2008-05-16,606773869,52.00,52.00,51.10,51.20
2008-05-19,1231977672,51.90,53.50,51.70,53.50
2008-05-20,887200571,53.90,54.00,51.80,52.30
2008-05-21,397292007,52.00,52.50,51.30,51.60
2008-05-22,522195580,50.40,52.10,50.20,51.70
2008-05-23,661098323,51.70,52.50,50.70,50.80
2008-05-26,440981921,51.50,51.50,50.70,50.70
2008-05-27,392509727,51.00,51.50,50.60,51.00
2008-05-28,815247157,51.00,51.50,49.80,49.80
2008-05-29,704086340,50.00,50.40,49.50,49.50
2008-05-30,1016517718,50.50,51.00,49.35,51.00
2008-06-02,492709111,50.50,50.90,49.80,50.90
2008-06-03,581514843,50.10,50.60,49.70,49.90
2008-06-04,177129947,50.30,50.60,50.10,50.10
2008-06-05,509979648,50.30,50.60,49.00,50.60
2008-06-06,252707500,51.00,51.00,50.00,50.00
2008-06-09,293892536,49.00,49.60,49.00,49.30
2008-06-10,494665179,49.70,49.70,48.00,48.00
2008-06-11,515810889,48.00,48.40,46.85,47.20
2008-06-12,754286899,45.00,45.80,45.00,45.10
2008-06-13,553425266,46.40,46.40,45.00,45.30
2008-06-16,405465293,46.30,46.60,45.80,46.60
2008-06-17,523796789,47.00,47.00,45.20,45.85
2008-06-18,576081724,46.60,47.25,46.15,46.80
2008-06-19,619963086,46.30,46.90,45.90,46.00
2008-06-20,591609605,46.80,46.80,44.00,44.00
2008-06-23,428382941,43.00,44.60,42.60,44.10
2008-06-24,421041641,44.00,44.30,43.50,43.50
2008-06-25,962758942,42.95,43.50,41.50,42.35
2008-06-26,908793891,42.20,42.20,41.55,42.00
2008-06-27,708248363,39.20,41.00,39.20,40.65
2008-06-30,525438176,40.90,41.40,40.65,41.00
2008-07-01,343188573,41.95,41.95,40.50,40.70
2008-07-02,364851040,41.00,41.30,39.70,39.70
2008-07-03,782538746,38.50,40.70,38.00,40.00
2008-07-04,588761097,41.40,42.15,40.50,41.00
2008-07-07,539672551,41.90,43.60,41.70,43.60
2008-07-08,462793466,43.40,43.40,40.55,40.70
2008-07-09,849814177,41.20,42.25,41.00,41.25
2008-07-10,545135346,40.90,41.80,40.30,41.75
2008-07-11,363825055,41.75,42.65,41.00,42.60
2008-07-14,301815301,42.65,42.80,41.90,42.00
2008-07-15,365991160,41.80,42.00,39.50,39.50
2008-07-16,788155965,38.50,39.50,36.75,36.95
2008-07-17,598395143,37.60,38.00,37.00,37.40
2008-07-18,452229125,38.00,38.20,35.00,35.50
2008-07-21,648005901,36.60,37.60,36.60,36.75
2008-07-22,683203780,36.20,39.05,36.20,38.95
2008-07-23,743602174,40.50,41.65,39.90,41.65
2008-07-24,978098807,42.80,43.15,41.00,42.50
2008-07-25,1107306787,40.10,40.60,39.00,40.30
2008-07-29,590193689,39.80,40.00,39.10,39.50
2008-07-30,748200950,40.00,40.90,39.50,40.00
2008-07-31,549170634,40.80,40.90,38.70,39.30
2008-08-01,265034043,38.80,39.70,38.50,39.40
2008-08-04,457534793,40.00,40.05,39.10,39.15
2008-08-05,851833841,39.15,39.20,36.45,36.45
2008-08-06,877414772,36.75,37.15,34.05,35.65
2008-08-07,1158479361,35.80,36.10,33.90,33.90
2008-08-08,740297534,33.30,34.90,33.30,34.50
2008-08-11,1032575977,35.10,35.60,34.50,34.75
2008-08-12,1342879089,34.30,34.50,32.35,33.00
2008-08-13,831866732,32.50,33.10,32.40,32.90
2008-08-14,732783633,32.85,33.85,32.85,33.60
2008-08-15,714017879,33.90,34.60,33.50,33.50
2008-08-18,793135755,33.60,33.80,31.20,31.20
2008-08-19,549243160,30.00,30.40,29.60,30.35
2008-08-20,714095360,30.10,31.55,29.80,31.50
2008-08-21,475343311,31.50,32.10,31.00,31.00
2008-08-22,402172856,31.10,31.65,30.05,30.45
2008-08-25,666962914,30.70,32.55,30.65,32.55
2008-08-26,561121160,32.50,32.50,31.20,31.60
2008-08-27,505785438,31.60,32.95,31.20,32.40
2008-08-28,917234803,32.40,32.70,30.20,30.45
2008-08-29,451384069,31.00,31.25,30.65,31.10
2008-09-01,421197401,30.75,31.50,30.30,31.35
2008-09-02,523734515,31.80,31.90,30.85,31.10
2008-09-03,622030129,31.45,31.70,29.60,30.50
2008-09-04,421455498,30.00,30.75,28.90,28.90
2008-09-05,632047530,27.70,28.20,26.90,27.50
2008-09-08,1033744463,28.50,28.80,28.00,28.40
2008-09-09,644392820,27.80,27.80,26.45,26.45
2008-09-10,581951807,25.80,26.85,25.80,26.50
2008-09-11,1296463177,27.00,27.30,24.65,24.65
2008-09-12,847979824,24.80,25.15,23.30,24.05
2008-09-15,683667247,23.50,23.50,22.40,22.40
2008-09-16,664082321,21.00,21.15,20.85,20.90
2008-09-17,1084259839,21.80,22.10,19.45,20.05
2008-09-18,822383828,19.40,19.50,18.80,19.50
2008-09-19,649999469,20.75,20.85,20.25,20.85
2008-09-22,976236916,22.00,22.30,21.55,22.30
2008-09-23,903660174,21.65,23.80,21.65,23.75
2008-09-24,610883653,23.40,23.75,22.65,23.00
2008-09-25,870653166,22.10,22.50,21.40,21.40
2008-09-26,873636505,21.40,21.70,19.95,19.95
2008-09-30,637530263,18.60,18.80,18.60,18.65
2008-10-01,501170460,18.95,19.20,18.65,18.95
2008-10-02,436441412,18.90,19.60,18.90,19.15
2008-10-03,367682409,18.70,20.30,18.70,20.30
2008-10-06,311926914,19.60,20.00,19.15,19.35
2008-10-07,308858562,18.80,19.60,18.70,19.30
2008-10-08,428557112,18.90,19.00,18.00,18.20
2008-10-09,239085944,18.20,18.75,18.00,18.00
2008-10-13,199004347,17.40,17.50,17.40,17.40
2008-10-14,401415373,18.60,18.60,18.45,18.60
2008-10-15,313534047,18.60,18.60,17.95,17.95
2008-10-16,92698488,17.35,17.35,17.35,17.35
2008-10-17,301295591,16.90,17.00,16.75,16.75
2008-10-20,196968358,16.20,16.65,16.20,16.55
2008-10-21,280101755,16.70,17.20,16.10,16.55
2008-10-22,256931775,16.40,16.80,16.00,16.30
2008-10-23,94936294,15.75,15.80,15.75,15.75
2008-10-24,73159748,15.20,15.40,15.20,15.20
2008-10-27,247608886,14.15,15.20,14.15,15.20
2008-10-28,340381536,14.40,15.60,14.15,15.25
2008-10-29,395462909,16.20,16.20,14.20,14.90
2008-10-30,422891356,14.60,15.90,14.30,15.85
2008-10-31,441995305,15.85,16.95,15.50,16.95
2008-11-03,510150866,17.00,18.10,16.45,18.00
2008-11-04,331490982,17.95,18.20,16.90,18.00
2008-11-05,687326855,18.20,19.10,17.80,18.85
2008-11-06,420805808,18.00,18.00,17.55,17.55
2008-11-07,344430026,16.35,18.10,16.35,17.55
2008-11-10,406687918,18.45,18.75,18.00,18.75
2008-11-11,1355958361,19.20,20.05,19.20,20.05
2008-11-12,806480730,19.95,20.80,19.35,20.20
2008-11-13,703014248,20.00,20.70,19.00,20.40
2008-11-14,729298554,20.80,21.80,20.75,21.40
2008-11-17,831425903,21.60,22.85,21.60,22.85
2008-11-18,894183604,22.85,22.90,21.30,21.30
2008-11-19,646496352,21.30,21.45,20.10,21.30
2008-11-20,642088478,20.30,22.10,20.30,21.20
2008-11-21,528778526,20.90,22.65,20.80,22.60
2008-11-24,1085593961,22.60,24.15,22.60,24.10
2008-11-25,843511428,24.45,24.55,22.50,23.00
2008-11-26,461349646,23.20,23.85,23.15,23.30
2008-11-27,797456320,23.90,24.85,23.90,24.50
2008-11-28,655174742,24.50,25.30,24.35,24.70
2008-12-01,747422537,24.70,25.20,24.30,24.60
2008-12-02,639495625,23.40,24.55,23.35,24.55
2008-12-03,769190366,24.55,25.25,24.25,24.70
2008-12-04,769254935,24.85,24.90,23.00,24.65
2008-12-05,442966595,24.00,24.45,23.30,24.40
2008-12-08,766646596,24.40,24.85,24.05,24.50
2008-12-09,938553949,24.50,25.20,24.20,24.55
2008-12-10,1102477838,24.55,25.90,24.50,25.45
2008-12-11,438376137,25.80,25.80,24.60,24.70
2008-12-12,576791149,24.30,25.20,23.20,24.20
2008-12-15,959987796,24.70,25.85,24.70,25.80
2008-12-16,701772797,25.80,26.30,25.60,25.80
2008-12-17,970660253,26.00,27.15,26.00,26.75
2008-12-18,787506804,27.10,28.15,27.10,28.00
2008-12-19,524655099,27.50,28.00,27.20,27.70
2008-12-22,1020181078,28.40,28.70,25.80,25.80
2008-12-23,674220861,25.05,25.50,24.00,24.05
2008-12-24,543651425,23.20,25.10,23.20,25.05
2008-12-25,225026008,25.15,25.20,24.60,24.80
2008-12-26,297533173,24.55,25.55,24.55,25.05
2008-12-29,220238419,25.05,25.40,24.80,25.05
2008-12-30,478592078,25.45,26.80,25.45,26.65
2008-12-31,343713888,27.00,27.00,26.35,26.95
2009-01-05,566925486,28.00,28.10,27.40,27.65
2009-01-06,505199904,27.80,28.00,27.15,27.45
2009-01-07,662104907,27.95,28.35,27.20,28.10
2009-01-08,577723459,27.15,27.55,26.50,27.20
2009-01-09,692279789,27.35,27.95,26.50,26.50
2009-01-10,561466640,26.00,26.40,25.60,25.65
2009-01-12,535852903,25.80,26.30,24.95,25.00
2009-01-13,919734944,24.80,24.80,23.85,24.30
2009-01-14,651267029,24.55,25.40,24.45,25.35
2009-01-15,611476705,24.35,24.75,24.20,24.30
2009-01-16,333688363,24.65,24.70,24.10,24.40
2009-01-17,200477054,24.70,24.85,24.40,24.60
